,City Name,Facility cafe,Latitude,Longitude,Rating,Site Name,cafe Total Count,price_level
269,New York,The Brooklyn Cat Cafe,40.7,-74.01,4.4,Financial District,20,NAN
270,New York,Caffe Vita,40.7,-74.01,4.7,Financial District,20,NAN
271,New York,Cornerstone Cafe,40.7,-74.01,4.2,Financial District,20,1
272,New York,Cafe Clementine,40.7,-74.01,4.4,Financial District,20,1
273,New York,Pause Cafe,40.7,-74.01,4.6,Financial District,20,NAN
274,New York,Cafe Patoro,40.7,-74.01,4.7,Financial District,20,NAN
275,New York,Café Habana,40.7,-74.01,4.3,Financial District,20,2
276,New York,Gregorys Coffee,40.7,-74.01,4.2,Financial District,20,NAN
277,New York,Gregorys Coffee,40.7,-74.01,4.4,Financial District,20,NAN
278,New York,Fiat Café,40.7,-74.01,4.4,Financial District,20,2
279,New York,Iris Cafe,40.7,-74.01,4.4,Financial District,20,1
280,New York,CounterCulture Coffee Cafe,40.7,-74.01,4,Financial District,20,NAN
281,New York,Black Fox Coffee,40.7,-74.01,4.5,Financial District,20,NAN
282,New York,Cafe 11,40.7,-74.01,4.6,Financial District,20,1
283,New York,Cafe Petisco,40.7,-74.01,4.4,Financial District,20,2
284,New York,FEED Shop & Cafe,40.7,-74.01,4.3,Financial District,20,1
285,New York,Renaissance Java Cafe,40.7,-74.01,3.9,Financial District,20,NAN
286,New York,CC's Cafe,40.7,-74.01,4.6,Financial District,20,1
287,New York,Caffe Roma,40.7,-74.01,3.8,Financial District,20,2
288,New York,Chau Down Cafe,40.7,-74.01,3.6,Financial District,20,NAN
289,Chicago,Kingsbury Street Cafe,41.91,-87.64,4.5,Lincoln Yards,20,NAN
290,Chicago,Cafe Brauer,41.91,-87.64,4.2,Lincoln Yards,20,NAN
291,Chicago,3 Arts Club Cafe,41.91,-87.64,4.6,Lincoln Yards,20,2
292,Chicago,Caffe Umbria,41.91,-87.64,4.6,Lincoln Yards,20,1
293,Chicago,Café Integral at Freehand Chicago,41.91,-87.64,4.2,Lincoln Yards,20,1
294,Chicago,Coco Pazzo Cafe,41.91,-87.64,4.1,Lincoln Yards,20,2
295,Chicago,Cafe Spiaggia,41.91,-87.64,4.3,Lincoln Yards,20,3
296,Chicago,Bourgeois Pig Cafe,41.91,-87.64,4.1,Lincoln Yards,20,1
297,Chicago,Floriole Cafe & Bakery,41.91,-87.64,4.6,Lincoln Yards,20,1
298,Chicago,North & Clark Cafe,41.91,-87.64,4.4,Lincoln Yards,20,NAN
299,Chicago,Windy City Cafe,41.91,-87.64,4.4,Lincoln Yards,20,2
300,Chicago,King Cafe Gourmet & Go,41.91,-87.64,3.8,Lincoln Yards,20,1
301,Chicago,Eva's Cafe,41.91,-87.64,4.6,Lincoln Yards,20,NAN
302,Chicago,Capital One Cafe,41.91,-87.64,4,Lincoln Yards,20,NAN
303,Chicago,Colectivo Coffee - Lincoln Park,41.91,-87.64,4.5,Lincoln Yards,20,1
304,Chicago,Cyrano's Cafe & Wine Bar,41.91,-87.64,3.3,Lincoln Yards,20,2
305,Chicago,Harry's Cafe,41.91,-87.64,5,Lincoln Yards,20,NAN
306,Chicago,La Colombe Coffee Roasters,41.91,-87.64,4.6,Lincoln Yards,20,1
307,Chicago,Peet's Coffee,41.91,-87.64,4.4,Lincoln Yards,20,1
308,Chicago,Dollop Coffee Co.,41.91,-87.64,4.2,Lincoln Yards,20,NAN
309,Chicago,caffecafe,41.89,-87.64,4.3,The River District,20,NAN
310,Chicago,Nutella Cafe Chicago,41.89,-87.64,3.8,The River District,20,1
311,Chicago,Kingsbury Street Cafe,41.89,-87.64,4.5,The River District,20,NAN
312,Chicago,3 Arts Club Cafe,41.89,-87.64,4.6,The River District,20,2
313,Chicago,Meli Cafe,41.89,-87.64,4.2,The River District,20,NAN
314,Chicago,Boar's Head Cafe,41.89,-87.64,4.3,The River District,20,1
315,Chicago,Ceres Cafe,41.89,-87.64,4.4,The River District,20,1
316,Chicago,Meli Cafe,41.89,-87.64,4.4,The River District,20,2
317,Chicago,Nohea Cafe,41.89,-87.64,4.4,The River District,20,1
318,Chicago,Cafe Spiaggia,41.89,-87.64,4.3,The River District,20,3
319,Chicago,Washburne Cafe,41.89,-87.64,4,The River District,20,NAN
320,Chicago,Caffe Umbria,41.89,-87.64,4.6,The River District,20,1
321,Chicago,Toni Patisserie & Cafe,41.89,-87.64,4.4,The River District,20,2
322,Chicago,Venice Cafe,41.89,-87.64,4.4,The River District,20,NAN
323,Chicago,Café Integral at Freehand Chicago,41.89,-87.64,4.2,The River District,20,1
324,Chicago,Specialty's Cafe & Bakery,41.89,-87.64,4.2,The River District,20,NAN
325,Chicago,Port Center Cafe,41.89,-87.64,NAN,The River District,20,NAN
326,Chicago,Sweet Maple Cafe,41.89,-87.64,4.4,The River District,20,2
327,Chicago,Coco Pazzo Cafe,41.89,-87.64,4.1,The River District,20,2
328,Chicago,Stax Cafe,41.89,-87.64,4.4,The River District,20,1
329,Chicago,caffecafe,41.88,-87.65,4.3,Futton Market,20,NAN
330,Chicago,Nutella Cafe Chicago,41.88,-87.65,3.8,Futton Market,20,1
331,Chicago,Meli Cafe,41.88,-87.65,4.2,Futton Market,20,NAN
332,Chicago,Ceres Cafe,41.88,-87.65,4.4,Futton Market,20,1
333,Chicago,Boar's Head Cafe,41.88,-87.65,4.3,Futton Market,20,1
334,Chicago,Meli Cafe,41.88,-87.65,4.4,Futton Market,20,2
335,Chicago,Nohea Cafe,41.88,-87.65,4.4,Futton Market,20,1
336,Chicago,Washburne Cafe,41.88,-87.65,4,Futton Market,20,NAN
337,Chicago,Caffe Umbria,41.88,-87.65,4.6,Futton Market,20,1
338,Chicago,Venice Cafe,41.88,-87.65,4.4,Futton Market,20,NAN
339,Chicago,Sweet Maple Cafe,41.88,-87.65,4.4,Futton Market,20,2
340,Chicago,Café Integral at Freehand Chicago,41.88,-87.65,4.2,Futton Market,20,1
341,Chicago,Specialty's Cafe & Bakery,41.88,-87.65,4.2,Futton Market,20,NAN
342,Chicago,Stax Cafe,41.88,-87.65,4.4,Futton Market,20,1
343,Chicago,Toni Patisserie & Cafe,41.88,-87.65,4.4,Futton Market,20,2
344,Chicago,Specialty's Cafe and Bakery,41.88,-87.65,4.2,Futton Market,20,1
345,Chicago,Specialty's Cafe & Bakery,41.88,-87.65,3.9,Futton Market,20,2
346,Chicago,Windy City Cafe,41.88,-87.65,4.4,Futton Market,20,2
347,Chicago,Morgan Street Cafe,41.88,-87.65,4.5,Futton Market,20,NAN
348,Chicago,Cyrano's Cafe & Wine Bar,41.88,-87.65,3.3,Futton Market,20,2
349,Chicago,caffecafe,41.87,-87.63,4.3,City Center Campus,20,NAN
350,Chicago,Nutella Cafe Chicago,41.87,-87.63,3.8,City Center Campus,20,1
351,Chicago,Meli Cafe,41.87,-87.63,4.2,City Center Campus,20,NAN
352,Chicago,Boar's Head Cafe,41.87,-87.63,4.3,City Center Campus,20,1
353,Chicago,Ceres Cafe,41.87,-87.63,4.4,City Center Campus,20,1
354,Chicago,Meli Cafe,41.87,-87.63,4.4,City Center Campus,20,2
355,Chicago,Washburne Cafe,41.87,-87.63,4,City Center Campus,20,NAN
356,Chicago,Caffe Umbria,41.87,-87.63,4.6,City Center Campus,20,1
357,Chicago,Venice Cafe,41.87,-87.63,4.4,City Center Campus,20,NAN
358,Chicago,Two Zero Three Coffee & Wine Bar,41.87,-87.63,4.4,City Center Campus,20,2
359,Chicago,Little Branch Cafe,41.87,-87.63,3.9,City Center Campus,20,2
360,Chicago,Toni Patisserie & Cafe,41.87,-87.63,4.4,City Center Campus,20,2
361,Chicago,Café Integral at Freehand Chicago,41.87,-87.63,4.2,City Center Campus,20,1
362,Chicago,Specialty's Cafe and Bakery,41.87,-87.63,4.2,City Center Campus,20,1
363,Chicago,Specialty's Cafe & Bakery,41.87,-87.63,4.2,City Center Campus,20,NAN
364,Chicago,Port Center Cafe,41.87,-87.63,NAN,City Center Campus,20,NAN
365,Chicago,Specialty's Cafe & Bakery,41.87,-87.63,3.9,City Center Campus,20,2
366,Chicago,Cyrano's Cafe & Wine Bar,41.87,-87.63,3.3,City Center Campus,20,2
367,Chicago,Kristoffer's Cafe & Bakery,41.87,-87.63,4.6,City Center Campus,20,NAN
368,Chicago,Sawada Coffee,41.87,-87.63,4.7,City Center Campus,20,1
369,Chicago,caffecafe,41.87,-87.62,4.3,The Downtown District,20,NAN
370,Chicago,Nutella Cafe Chicago,41.87,-87.62,3.8,The Downtown District,20,1
371,Chicago,Meli Cafe,41.87,-87.62,4.2,The Downtown District,20,NAN
372,Chicago,Boar's Head Cafe,41.87,-87.62,4.3,The Downtown District,20,1
373,Chicago,Meli Cafe,41.87,-87.62,4.4,The Downtown District,20,2
374,Chicago,Ceres Cafe,41.87,-87.62,4.4,The Downtown District,20,1
375,Chicago,Washburne Cafe,41.87,-87.62,4,The Downtown District,20,NAN
376,Chicago,Caffe Umbria,41.87,-87.62,4.6,The Downtown District,20,1
377,Chicago,Venice Cafe,41.87,-87.62,4.4,The Downtown District,20,NAN
378,Chicago,Two Zero Three Coffee & Wine Bar,41.87,-87.62,4.4,The Downtown District,20,2
379,Chicago,Little Branch Cafe,41.87,-87.62,3.9,The Downtown District,20,2
380,Chicago,Toni Patisserie & Cafe,41.87,-87.62,4.4,The Downtown District,20,2
381,Chicago,Wildberry Pancakes & Cafe,41.87,-87.62,4.5,The Downtown District,20,1
382,Chicago,Specialty's Cafe and Bakery,41.87,-87.62,4.2,The Downtown District,20,1
383,Chicago,Specialty's Cafe & Bakery,41.87,-87.62,4.2,The Downtown District,20,NAN
384,Chicago,HERO Coffee Bar,41.87,-87.62,4.5,The Downtown District,20,1
385,Chicago,Specialty's Cafe & Bakery,41.87,-87.62,3.9,The Downtown District,20,2
386,Chicago,Kristoffer's Cafe & Bakery,41.87,-87.62,4.6,The Downtown District,20,NAN
387,Chicago,Sawada Coffee,41.87,-87.62,4.7,The Downtown District,20,1
388,Chicago,Caffe Baci,41.87,-87.62,3.9,The Downtown District,20,2
389,Chicago,Venice Cafe,41.86,-87.67,4.4,The Illinois Medical District,20,NAN
390,Chicago,Meli Cafe,41.86,-87.67,4.4,The Illinois Medical District,20,2
391,Chicago,Sweet Maple Cafe,41.86,-87.67,4.4,The Illinois Medical District,20,2
392,Chicago,Nohea Cafe,41.86,-87.67,4.4,The Illinois Medical District,20,1
393,Chicago,Morgan Street Cafe,41.86,-87.67,4.5,The Illinois Medical District,20,NAN
394,Chicago,La Catrina Cafe,41.86,-87.67,4.4,The Illinois Medical District,20,NAN
395,Chicago,Chicago Hope Cafe,41.86,-87.67,4.6,The Illinois Medical District,20,1
396,Chicago,Gio's Cafe and Deli,41.86,-87.67,4.5,The Illinois Medical District,20,2
397,Chicago,Lotus Cafe & Banh Mi Sandwich,41.86,-87.67,4.4,The Illinois Medical District,20,1
398,Chicago,M 2 Cafe,41.86,-87.67,4.5,The Illinois Medical District,20,NAN
399,Chicago,Cafe Jumping Bean,41.86,-87.67,4.7,The Illinois Medical District,20,1
400,Chicago,Port Center Cafe,41.86,-87.67,NAN,The Illinois Medical District,20,NAN
401,Chicago,Specialty's Cafe & Bakery,41.86,-87.67,3.9,The Illinois Medical District,20,2
402,Chicago,Tropical Smoothie Cafe,41.86,-87.67,4.4,The Illinois Medical District,20,NAN
403,Chicago,Meddle Coffee Bar,41.86,-87.67,4.7,The Illinois Medical District,20,1
404,Chicago,Kristoffer's Cafe & Bakery,41.86,-87.67,4.6,The Illinois Medical District,20,NAN
405,Chicago,Demitasse Cafe,41.86,-87.67,4.7,The Illinois Medical District,20,2
406,Chicago,Stax Cafe,41.86,-87.67,4.4,The Illinois Medical District,20,1
407,Chicago,Caffè Baci,41.86,-87.67,4.2,The Illinois Medical District,20,NAN
408,Chicago,THE COFFEE ALLEY,41.86,-87.67,4.5,The Illinois Medical District,20,NAN
409,Chicago,Sweet Maple Cafe,41.85,-87.66,4.4,The 78,20,2
410,Chicago,Polo Cafe and Catering,41.85,-87.66,4.5,The 78,20,2
411,Chicago,Gio's Cafe and Deli,41.85,-87.66,4.5,The 78,20,2
412,Chicago,Cafe Jumping Bean,41.85,-87.66,4.7,The 78,20,1
413,Chicago,La Catrina Cafe,41.85,-87.66,4.4,The 78,20,NAN
414,Chicago,Chicago Hope Cafe,41.85,-87.66,4.6,The 78,20,1
415,Chicago,Stax Cafe,41.85,-87.66,4.4,The 78,20,1
416,Chicago,Lotus Cafe & Banh Mi Sandwich,41.85,-87.66,4.4,The 78,20,1
417,Chicago,Bridgeport Coffee,41.85,-87.66,4.2,The 78,20,NAN
418,Chicago,THE COFFEE ALLEY,41.85,-87.66,4.5,The 78,20,NAN
419,Chicago,Tropical Smoothie Cafe,41.85,-87.66,4.4,The 78,20,NAN
420,Chicago,Kristoffer's Cafe & Bakery,41.85,-87.66,4.6,The 78,20,NAN
421,Chicago,Demitasse Cafe,41.85,-87.66,4.7,The 78,20,2
422,Chicago,China Cafe,41.85,-87.66,3.8,The 78,20,2
423,Chicago,Jackalope Coffee & Tea House,41.85,-87.66,4.7,The 78,20,NAN
424,Chicago,Joy Cafe,41.85,-87.66,4.8,The 78,20,NAN
425,Chicago,Cafe Descartes,41.85,-87.66,4.4,The 78,20,NAN
426,Chicago,Bridgeport Coffeehouse,41.85,-87.66,4.5,The 78,20,NAN
427,Chicago,Frida Room,41.85,-87.66,4.5,The 78,20,NAN
428,Chicago,Starbucks,41.85,-87.66,4.4,The 78,20,2
429,Chicago,Ain't She Sweet Cafe,41.83,-87.6,4.7,Burnham Lakefront,2,NAN
430,Chicago,Starbucks,41.83,-87.6,3.8,Burnham Lakefront,2,2
431,Raleigh,Cafe Meridian & Catering Company,35.9,-78.87,4.6,Research Triangle Park,4,2
432,Raleigh,Tropical Smoothie Cafe,35.9,-78.87,4.1,Research Triangle Park,4,NAN
433,Raleigh,Chelsea Cafe,35.9,-78.87,4.4,Research Triangle Park,4,NAN
434,Raleigh,Starbucks,35.9,-78.87,4.1,Research Triangle Park,4,2
435,Raleigh,Starbucks,35.85,-79.08,4.6,Chatham Park,1,2
436,Raleigh,Benelux Coffee,35.77,-78.64,4.3,Warehouse District,20,1
437,Raleigh,The Daily Planet Cafe,35.77,-78.64,4.2,Warehouse District,20,1
438,Raleigh,Irregardless Cafe & Catering,35.77,-78.64,4.3,Warehouse District,20,2
439,Raleigh,The Pharmacy Cafe,35.77,-78.64,4.9,Warehouse District,20,NAN
440,Raleigh,Seaboard Cafe,35.77,-78.64,4.3,Warehouse District,20,2
441,Raleigh,Sosta Cafe,35.77,-78.64,4.8,Warehouse District,20,2
442,Raleigh,Acro Cafe,35.77,-78.64,4,Warehouse District,20,NAN
443,Raleigh,Raleigh Raw Juice Bar & Cafe,35.77,-78.64,4.7,Warehouse District,20,NAN
444,Raleigh,Sunflower's Cafe and Catering,35.77,-78.64,4.2,Warehouse District,20,2
445,Raleigh,Plaza Cafe,35.77,-78.64,4.2,Warehouse District,20,NAN
446,Raleigh,Berkeley Cafe,35.77,-78.64,4.2,Warehouse District,20,1
447,Raleigh,BREW Coffee Bar,35.77,-78.64,4.6,Warehouse District,20,NAN
448,Raleigh,Cafe Carolina and Bakery,35.77,-78.64,4.1,Warehouse District,20,NAN
449,Raleigh,Tobacco Road Sports Cafe & Brewery,35.77,-78.64,4.1,Warehouse District,20,NAN
450,Raleigh,Night Kitchen Bakehouse & Cafe,35.77,-78.64,4.7,Warehouse District,20,NAN
451,Raleigh,Manhattan Cafe,35.77,-78.64,4.6,Warehouse District,20,NAN
452,Raleigh,Jubala Coffee,35.77,-78.64,4.6,Warehouse District,20,NAN
453,Raleigh,Sahara Hookah Cafe,35.77,-78.64,4.2,Warehouse District,20,2
454,Raleigh,Nara Lounge Hookah cafe,35.77,-78.64,4.3,Warehouse District,20,NAN
455,Raleigh,Sir Walter Coffee,35.77,-78.64,4.5,Warehouse District,20,2
456,Atlanta,West Egg Cafe,33.7615,-84.3856,4.5,Downtown Atlanta,20,2
457,Atlanta,Java Cats Cafe,33.7615,-84.3856,4.7,Downtown Atlanta,20,NAN
458,Atlanta,Carroll Street Cafe,33.7615,-84.3856,4.5,Downtown Atlanta,20,2
459,Atlanta,Pemberton Cafe,33.7615,-84.3856,1.6,Downtown Atlanta,20,NAN
460,Atlanta,ADios Cafe,33.7615,-84.3856,4.4,Downtown Atlanta,20,NAN
461,Atlanta,Cafe + Velo,33.7615,-84.3856,4.6,Downtown Atlanta,20,1
462,Atlanta,Cafe Intermezzo,33.7615,-84.3856,4.4,Downtown Atlanta,20,NAN
463,Atlanta,Condesa Coffee,33.7615,-84.3856,4.5,Downtown Atlanta,20,NAN
464,Atlanta,Buenos Dias Cafe,33.7615,-84.3856,4.8,Downtown Atlanta,20,NAN
465,Atlanta,Metro Cafe Diner,33.7615,-84.3856,3.7,Downtown Atlanta,20,2
466,Atlanta,Charlot's Creole Cafe,33.7615,-84.3856,4,Downtown Atlanta,20,NAN
467,Atlanta,Cafe cubism inc,33.7615,-84.3856,NAN,Downtown Atlanta,20,NAN
468,Atlanta,Café Lucia,33.7615,-84.3856,4.6,Downtown Atlanta,20,1
469,Atlanta,Cafe Kia-Ora,33.7615,-84.3856,4.7,Downtown Atlanta,20,NAN
470,Atlanta,Atwoods Pizza Cafe,33.7615,-84.3856,4.7,Downtown Atlanta,20,1
471,Atlanta,Cafe Agora,33.7615,-84.3856,4.7,Downtown Atlanta,20,NAN
472,Atlanta,Ebrik Coffee Room,33.7615,-84.3856,4.8,Downtown Atlanta,20,NAN
473,Atlanta,Corner Bakery Cafe,33.7615,-84.3856,4.3,Downtown Atlanta,20,2
474,Atlanta,Cafe Mim's,33.7615,-84.3856,4,Downtown Atlanta,20,NAN
475,Atlanta,Anatolia Cafe and Hookah Lounge,33.7615,-84.3856,4.2,Downtown Atlanta,20,2
476,Atlanta,Cafe 1217,34.5129,-93.0431,4.5,Midtown,8,NAN
477,Atlanta,Kollective Coffee & Tea,34.5129,-93.0431,4.7,Midtown,8,NAN
478,Atlanta,Argentinian Coffee & Wine Bar,34.5129,-93.0431,4.4,Midtown,8,NAN
479,Atlanta,Red Light Roastery Coffee House,34.5129,-93.0431,4.9,Midtown,8,NAN
480,Atlanta,Pho Hoang My - Vietnamese Food and Coffee,34.5129,-93.0431,4.8,Midtown,8,NAN
481,Atlanta,The Coffee Shop at the Arlington,34.5129,-93.0431,NAN,Midtown,8,NAN
482,Atlanta,Surfas Culinary District,34.5129,-93.0431,4.9,Midtown,8,NAN
483,Atlanta,Earl Gill Enterprises Inc,34.5129,-93.0431,3,Midtown,8,NAN
484,Atlanta,White Windmill Bakery and Cafe,33.904,-84.2843,4.5,Former GM plant,8,NAN
485,Atlanta,Sweet Hut Bakery Cafe,33.904,-84.2843,4.5,Former GM plant,8,NAN
486,Atlanta,Mozart Bakery,33.904,-84.2843,4.5,Former GM plant,8,NAN
487,Atlanta,Moonbird Coffee,33.904,-84.2843,4.7,Former GM plant,8,NAN
488,Atlanta,Hello Gorgeous! Boutique,33.904,-84.2843,4.7,Former GM plant,8,NAN
489,Atlanta,Planet Hookah Cafe,33.904,-84.2843,4.8,Former GM plant,8,NAN
490,Atlanta,ZenTea Tea House,33.904,-84.2843,4.6,Former GM plant,8,NAN
491,Atlanta,Dunkin' Donuts,33.904,-84.2843,3.8,Former GM plant,8,1
492,Atlanta,Cafe 290,33.9133,-84.3888,4.2,The High Street Site,10,NAN
493,Atlanta,Chapmans Cafe and Catering,33.9133,-84.3888,5,The High Street Site,10,NAN
494,Atlanta,Breadwinner Cafe and Bakery,33.9133,-84.3888,4.4,The High Street Site,10,NAN
495,Atlanta,Soho Cafe and Bakery,33.9133,-84.3888,4.7,The High Street Site,10,NAN
496,Atlanta,Clay's Sports Cafe,33.9133,-84.3888,4.5,The High Street Site,10,NAN
497,Atlanta,Flying Biscuit Cafe,33.9133,-84.3888,4.2,The High Street Site,10,2
498,Atlanta,Starbucks,33.9133,-84.3888,4.4,The High Street Site,10,2
499,Atlanta,Café Vendôme,33.9133,-84.3888,4.5,The High Street Site,10,1
500,Atlanta,Cafe Posh,33.9133,-84.3888,4.1,The High Street Site,10,NAN
501,Atlanta,Starbucks,33.9133,-84.3888,3.6,The High Street Site,10,2
502,Austin,Café No Sé,30.2586,-97.7444,4.1,American-Statesman ,20,2
503,Austin,Bouldin Creek Cafe,30.2586,-97.7444,4.6,American-Statesman ,20,1
504,Austin,Zocalo Cafe,30.2586,-97.7444,4.2,American-Statesman ,20,2
505,Austin,Elizabeth Street Cafe,30.2586,-97.7444,4.3,American-Statesman ,20,3
506,Austin,Alta's Cafe,30.2586,-97.7444,4,American-Statesman ,20,NAN
507,Austin,Blue Cat Cafe,30.2586,-97.7444,4,American-Statesman ,20,1
508,Austin,Counter Cafe,30.2586,-97.7444,4.4,American-Statesman ,20,2
509,Austin,Blanton Café,30.2586,-97.7444,3.3,American-Statesman ,20,NAN
510,Austin,1886 Cafe & Bakery,30.2586,-97.7444,4.1,American-Statesman ,20,2
511,Austin,Jo's Coffee,30.2586,-97.7444,4.3,American-Statesman ,20,1
512,Austin,Slake Cafe,30.2586,-97.7444,4.3,American-Statesman ,20,NAN
513,Austin,Jo's Coffee,30.2586,-97.7444,4.1,American-Statesman ,20,2
514,Austin,Thistle Cafe,30.2586,-97.7444,4.7,American-Statesman ,20,2
515,Austin,Mañana,30.2586,-97.7444,4.6,American-Statesman ,20,1
516,Austin,Flat Track Coffee,30.2586,-97.7444,4.7,American-Statesman ,20,1
517,Austin,Old Pecan Street Cafe,30.2586,-97.7444,4.2,American-Statesman ,20,NAN
518,Austin,Messhall Cafe,30.2586,-97.7444,4,American-Statesman ,20,1
519,Austin,Daily Juice Cafe,30.2586,-97.7444,4.3,American-Statesman ,20,NAN
520,Austin,The Story of Texas Cafe,30.2586,-97.7444,3.3,American-Statesman ,20,NAN
521,Austin,Juan Pelota Cafe,30.2586,-97.7444,4.4,American-Statesman ,20,1
522,Austin,Cafe Malta,30.199,-97.8276,4.3,Former 3M site,9,2
523,Austin,Tinos Greek Cafe,30.199,-97.8276,4,Former 3M site,9,NAN
524,Austin,Crema Bakery & Cafe,30.199,-97.8276,4,Former 3M site,9,1
525,Austin,Evangeline Cafe,30.199,-97.8276,4.5,Former 3M site,9,2
526,Austin,Galaxy Cafe,30.199,-97.8276,4.2,Former 3M site,9,2
527,Austin,Summer Moon Coffee Bar,30.199,-97.8276,4.6,Former 3M site,9,1
528,Austin,Starbucks,30.199,-97.8276,3.9,Former 3M site,9,2
529,Austin,Allegro Coffee Company,30.199,-97.8276,NAN,Former 3M site,9,NAN
530,Austin,Kerbey Lane Cafe,30.199,-97.8276,4.3,Former 3M site,9,1
531,Austin,Summermoon Coffee Bar,30.4015,-97.7268,4.6,The Domain,16,1
532,Austin,Cafe Java,30.4015,-97.7268,4.7,The Domain,16,1
533,Austin,Kiefer's Cafe & Catering,30.4015,-97.7268,4.4,The Domain,16,2
534,Austin,Mimi's Cafe,30.4015,-97.7268,3.9,The Domain,16,2
535,Austin,Tinos Greek Cafe,30.4015,-97.7268,3.9,The Domain,16,2
536,Austin,la Madeleine French Bakery & Café Arboretum,30.4015,-97.7268,4.1,The Domain,16,2
537,Austin,Tropical Smoothie Cafe,30.4015,-97.7268,2.3,The Domain,16,NAN
538,Austin,Bee Cave Coffee Co.,30.4015,-97.7268,4,The Domain,16,NAN
539,Austin,Apanas Coffee & Beer,30.4015,-97.7268,4.5,The Domain,16,1
540,Austin,barnes & Noble cafe featuring Starbucks,30.4015,-97.7268,NAN,The Domain,16,2
541,Austin,Allegro Coffee Company,30.4015,-97.7268,5,The Domain,16,NAN
542,Austin,Starbucks Reserve Bar,30.4015,-97.7268,4.5,The Domain,16,2
543,Austin,Starbucks,30.4015,-97.7268,4,The Domain,16,2
544,Austin,Starbucks,30.4015,-97.7268,4.2,The Domain,16,2
545,Austin,Garden Spot Cafe,30.4015,-97.7268,4.7,The Domain,16,NAN
546,Austin,It's A Grind Coffee House,30.4015,-97.7268,4.3,The Domain,16,1
547,Austin,Rice Bowl Cafe,30.4014,-97.7147,4.2,Bardmoor Campus,13,2
548,Austin,Summermoon Coffee Bar,30.4014,-97.7147,4.6,Bardmoor Campus,13,1
549,Austin,Cafe Java,30.4014,-97.7147,4.7,Bardmoor Campus,13,1
550,Austin,Mimi's Cafe,30.4014,-97.7147,3.9,Bardmoor Campus,13,2
551,Austin,Kiefer's Cafe & Catering,30.4014,-97.7147,4.4,Bardmoor Campus,13,2
552,Austin,Tinos Greek Cafe,30.4014,-97.7147,3.9,Bardmoor Campus,13,2
553,Austin,Tropical Smoothie Cafe,30.4014,-97.7147,2.3,Bardmoor Campus,13,NAN
554,Austin,Bee Cave Coffee Co.,30.4014,-97.7147,4,Bardmoor Campus,13,NAN
555,Austin,Apanas Coffee & Beer,30.4014,-97.7147,4.5,Bardmoor Campus,13,1
556,Austin,Allegro Coffee Company,30.4014,-97.7147,5,Bardmoor Campus,13,NAN
557,Austin,Starbucks Reserve Bar,30.4014,-97.7147,4.5,Bardmoor Campus,13,2
558,Austin,Garden Spot Cafe,30.4014,-97.7147,4.7,Bardmoor Campus,13,NAN
559,Austin,It's A Grind Coffee House,30.4014,-97.7147,4.3,Bardmoor Campus,13,1
560,Austin,Cuppa Austin,30.4704,-97.7701,4.6,Robinson Ranch,4,1
561,Austin,Starbucks,30.4704,-97.7701,4,Robinson Ranch,4,2
562,Austin,Kerbey Lane Cafe,30.4704,-97.7701,4.1,Robinson Ranch,4,2
563,Austin,Tinos Greek Cafe,30.4704,-97.7701,4,Robinson Ranch,4,2