,City Name,Facility gym,Latitude,Longitude,Rating,Site Name,Total Count
0,Northern Virginia Area,Gold's Gym,38.96,-77.42,2.7,Center for Innovation Technology,3
1,Northern Virginia Area,UFC Gym Reston/Herndon,38.96,-77.42,5,Center for Innovation Technology,3
2,Northern Virginia Area,Worldgate Sport&Health,38.96,-77.42,4,Center for Innovation Technology,3
3,Northern Virginia Area,Gold's Gym,38.84,-77.05,3.4,Crystal City and Potomac Yard,8
4,Northern Virginia Area,LA Fitness,38.84,-77.05,3.1,Crystal City and Potomac Yard,8
5,Northern Virginia Area,Orangetheory Fitness,38.84,-77.05,5,Crystal City and Potomac Yard,8
6,Northern Virginia Area,Earth Treks,38.84,-77.05,4.8,Crystal City and Potomac Yard,8
7,Northern Virginia Area,Foundation Fitness of Alexandria,38.84,-77.05,5,Crystal City and Potomac Yard,8
8,Northern Virginia Area,Crystal Park Sport&Health,38.84,-77.05,4.7,Crystal City and Potomac Yard,8
9,Northern Virginia Area,CrossFit South Arlington,38.84,-77.05,4.6,Crystal City and Potomac Yard,8
10,Northern Virginia Area,F45 Training - Pentagon Row,38.84,-77.05,4.9,Crystal City and Potomac Yard,8
11,Washington DC,Headbangers Boxing Gym,38.86,-77.01,4.8,Nationals Park/ D.C United Stadium,8
12,Washington DC,VIDA Fitness The Yards,38.86,-77.01,4.4,Nationals Park/ D.C United Stadium,8
13,Washington DC,District CrossFit,38.86,-77.01,5,Nationals Park/ D.C United Stadium,8
14,Washington DC,Orangetheory Fitness,38.86,-77.01,4.5,Nationals Park/ D.C United Stadium,8
15,Washington DC,Fitness Center I,38.86,-77.01,4,Nationals Park/ D.C United Stadium,8
16,Washington DC,Atlas Fitness,38.86,-77.01,4.8,Nationals Park/ D.C United Stadium,8
17,Washington DC,Washington Navy Yard Fitness Center,38.86,-77.01,4.1,Nationals Park/ D.C United Stadium,8
18,Washington DC,Capitol Hill Sport&Health,38.86,-77.01,4.6,Nationals Park/ D.C United Stadium,8
19,Washington DC,Gold's Gym,38.89,-77,4.1,Union Station,19
20,Washington DC,Headbangers Boxing Gym,38.89,-77,4.8,Union Station,19
21,Washington DC,Balance Gym,38.89,-77,4.3,Union Station,19
22,Washington DC,Crunch - Metro Center,38.89,-77,4.4,Union Station,19
23,Washington DC,VIDA Fitness The Yards,38.89,-77,4.4,Union Station,19
24,Washington DC,VIDA Fitness Gallery Place,38.89,-77,4.2,Union Station,19
25,Washington DC,VIDA Fitness Renaissance and Aura Spa,38.89,-77,4.7,Union Station,19
26,Washington DC,District CrossFit,38.89,-77,5,Union Station,19
27,Washington DC,Model Secondary School Gym,38.89,-77,NAN,Union Station,19
28,Washington DC,Orangetheory Fitness,38.89,-77,4.7,Union Station,19
29,Washington DC,CrossFit DC Northeast,38.89,-77,4.9,Union Station,19
30,Washington DC,Orangetheory Fitness,38.89,-77,4.5,Union Station,19
31,Washington DC,Primal Fitness,38.89,-77,4.6,Union Station,19
32,Washington DC,American Parkour,38.89,-77,4.1,Union Station,19
33,Washington DC,VIDA Fitness City Vista,38.89,-77,4,Union Station,19
34,Washington DC,Total Source Fitness,38.89,-77,4.5,Union Station,19
35,Washington DC,NUBOXX,38.89,-77,4.1,Union Station,19
36,Washington DC,Capitol Hill Sport&Health,38.89,-77,4.6,Union Station,19
37,Washington DC,Balance Gym,38.89,-77,4.6,Union Station,19
38,Washington DC,Headbangers Boxing Gym,38.88,-76.97,4.8,Hill-East Neighborhood,4
39,Washington DC,CrossFit DC Northeast,38.88,-76.97,4.9,Hill-East Neighborhood,4
40,Washington DC,Atlas Fitness,38.88,-76.97,4.8,Hill-East Neighborhood,4
41,Washington DC,VIDA Fitness The Yards,38.88,-76.97,4.4,Hill-East Neighborhood,4
42,Washington DC,Bodysmith Gym + Studios,38.91,-77.02,4.4,Shaw-Howard University Area,20
43,Washington DC,Gold's Gym,38.91,-77.02,3.2,Shaw-Howard University Area,20
44,Washington DC,"Equinox Sports Club Washington, D.C.",38.91,-77.02,3.8,Shaw-Howard University Area,20
45,Washington DC,Crunch - Metro Center,38.91,-77.02,4.4,Shaw-Howard University Area,20
46,Washington DC,VIDA Fitness Logan Circle,38.91,-77.02,4.2,Shaw-Howard University Area,20
47,Washington DC,VIDA Fitness Gallery Place,38.91,-77.02,4.2,Shaw-Howard University Area,20
48,Washington DC,Balance Gym,38.91,-77.02,4.6,Shaw-Howard University Area,20
49,Washington DC,VIDA Fitness Renaissance and Aura Spa,38.91,-77.02,4.7,Shaw-Howard University Area,20
50,Washington DC,CrossFit MPH,38.91,-77.02,5,Shaw-Howard University Area,20
51,Washington DC,CrossFit DC,38.91,-77.02,4.8,Shaw-Howard University Area,20
52,Washington DC,"CrossFit, Inc",38.91,-77.02,NAN,Shaw-Howard University Area,20
53,Washington DC,LA Fitness,38.91,-77.02,2.8,Shaw-Howard University Area,20
54,Washington DC,Model Secondary School Gym,38.91,-77.02,NAN,Shaw-Howard University Area,20
55,Washington DC,Orangetheory Fitness,38.91,-77.02,4.7,Shaw-Howard University Area,20
56,Washington DC,Primal Fitness,38.91,-77.02,4.6,Shaw-Howard University Area,20
57,Washington DC,American Parkour,38.91,-77.02,4.1,Shaw-Howard University Area,20
58,Washington DC,VIDA Fitness City Vista,38.91,-77.02,4,Shaw-Howard University Area,20
59,Washington DC,Total Source Fitness,38.91,-77.02,4.5,Shaw-Howard University Area,20
60,Washington DC,From the Core Studios,38.91,-77.02,4.7,Shaw-Howard University Area,20
61,Washington DC,MINT health club & studio- Dupont,38.91,-77.02,4.7,Shaw-Howard University Area,20
62,Los Angeles,24 Hour Fitness,34.1802,-118.6028,3.6,Warner Center West San Fernando Valley,13
63,Los Angeles,My Gym,34.1802,-118.6028,5,Warner Center West San Fernando Valley,13
64,Los Angeles,Total Woman Gym + Spa,34.1802,-118.6028,3.2,Warner Center West San Fernando Valley,13
65,Los Angeles,Equinox Woodland Hills,34.1802,-118.6028,4.4,Warner Center West San Fernando Valley,13
66,Los Angeles,We Rock the Spectrum Kid's Gym - Woodland Hills,34.1802,-118.6028,5,Warner Center West San Fernando Valley,13
67,Los Angeles,Team CrossFit - LYFE Athletics Woodland Hills,34.1802,-118.6028,4.9,Warner Center West San Fernando Valley,13
68,Los Angeles,LA Fitness,34.1802,-118.6028,3.6,Warner Center West San Fernando Valley,13
69,Los Angeles,North Gym - 5600,34.1802,-118.6028,4,Warner Center West San Fernando Valley,13
70,Los Angeles,Orangetheory Fitness,34.1802,-118.6028,NAN,Warner Center West San Fernando Valley,13
71,Los Angeles,Woodland Hills Athletic Club,34.1802,-118.6028,4.3,Warner Center West San Fernando Valley,13
72,Los Angeles,South Gym - 5400,34.1802,-118.6028,4,Warner Center West San Fernando Valley,13
73,Los Angeles,ZOO CULTURE,34.1802,-118.6028,4.7,Warner Center West San Fernando Valley,13
74,Los Angeles,Group Interval Training,34.1802,-118.6028,5,Warner Center West San Fernando Valley,13
75,Los Angeles,My Gym Children's Fitness Center,34.4318,-118.5584,4.5,New Hall Ranch Santa Clarita Valley,13
76,Los Angeles,Gold's Gym,34.4318,-118.5584,2.8,New Hall Ranch Santa Clarita Valley,13
77,Los Angeles,Rye Canyon CrossFit,34.4318,-118.5584,4.8,New Hall Ranch Santa Clarita Valley,13
78,Los Angeles,Ekata Training Center - Gym Santa Clarita,34.4318,-118.5584,4.4,New Hall Ranch Santa Clarita Valley,13
79,Los Angeles,Gymnastics Unlimited,34.4318,-118.5584,4.2,New Hall Ranch Santa Clarita Valley,13
80,Los Angeles,LA Fitness,34.4318,-118.5584,4,New Hall Ranch Santa Clarita Valley,13
81,Los Angeles,Total Woman,34.4318,-118.5584,3.4,New Hall Ranch Santa Clarita Valley,13
82,Los Angeles,Henry Mayo Fitness and Health,34.4318,-118.5584,4.7,New Hall Ranch Santa Clarita Valley,13
83,Los Angeles,Ignition Fitness,34.4318,-118.5584,5,New Hall Ranch Santa Clarita Valley,13
84,Los Angeles,Face Your Fears Athletics,34.4318,-118.5584,4.2,New Hall Ranch Santa Clarita Valley,13
85,Los Angeles,Anytime Fitness,34.4318,-118.5584,4.6,New Hall Ranch Santa Clarita Valley,13
86,Los Angeles,Jordan's Virtual Fit Club,34.4318,-118.5584,4.2,New Hall Ranch Santa Clarita Valley,13
87,Los Angeles,SCV All-Stars,34.4318,-118.5584,5,New Hall Ranch Santa Clarita Valley,13
88,Los Angeles,Arrow CrossFit,34.0885,-117.7702,4,Pomona Fairplex,3
89,Los Angeles,Ace of Spades Boxing Club,34.0885,-117.7702,4,Pomona Fairplex,3
90,Los Angeles,My Gym Children's Fitness Center,34.0885,-117.7702,5,Pomona Fairplex,3
91,Boston,Planet Fitness,42.39,-71,4.3,Suffolk Downs,5
92,Boston,Planet Fitness,42.39,-71,4.1,Suffolk Downs,5
93,Boston,Planet Fitness,42.39,-71,3.2,Suffolk Downs,5
94,Boston,Winthrop Gymnastics Academy,42.39,-71,4.6,Suffolk Downs,5
95,Boston,RPM Fitness,42.39,-71,4.7,Suffolk Downs,5
96,Boston,UFC Gym Boston Financial District,42.34,-71.03,4.2,South Boston Waterfront,14
97,Boston,Peter Welch's Gym,42.34,-71.03,4.9,South Boston Waterfront,14
98,Boston,Gold's Gym,42.34,-71.03,2.1,South Boston Waterfront,14
99,Boston,Equinox Franklin Street,42.34,-71.03,3.8,South Boston Waterfront,14
100,Boston,Equinox Seaport,42.34,-71.03,4.5,South Boston Waterfront,14
101,Boston,Rock Spot Climbing,42.34,-71.03,4.6,South Boston Waterfront,14
102,Boston,BRICK CrossFit DTX / BRICK Boston,42.34,-71.03,5,South Boston Waterfront,14
103,Boston,Lifted Fitness,42.34,-71.03,5,South Boston Waterfront,14
104,Boston,Fisique Boston,42.34,-71.03,4.4,South Boston Waterfront,14
105,Boston,FitCorp - Boston's Fitness and Wellness Centers,42.34,-71.03,NAN,South Boston Waterfront,14
106,Boston,Planet Fitness,42.34,-71.03,4.1,South Boston Waterfront,14
107,Boston,EverybodyFights,42.34,-71.03,5,South Boston Waterfront,14
108,Boston,EverybodyFights,42.34,-71.03,5,South Boston Waterfront,14
109,Boston,Regan's Motivated Fitness,42.34,-71.03,4.6,South Boston Waterfront,14
110,Boston,Planet Fitness,42.35,-71.05,4.1,Downtown,20
111,Boston,Peter Welch's Gym,42.35,-71.05,4.9,Downtown,20
112,Boston,UFC Gym Boston Financial District,42.35,-71.05,4.2,Downtown,20
113,Boston,Gold's Gym,42.35,-71.05,2.1,Downtown,20
114,Boston,Equinox Sports Club Boston,42.35,-71.05,3.9,Downtown,20
115,Boston,Equinox Dartmouth,42.35,-71.05,3.9,Downtown,20
116,Boston,Equinox Franklin Street,42.35,-71.05,3.8,Downtown,20
117,Boston,Equinox Seaport,42.35,-71.05,4.5,Downtown,20
118,Boston,Kendall Square CrossFit - Kendall Square,42.35,-71.05,5,Downtown,20
119,Boston,Rock Spot Climbing,42.35,-71.05,4.6,Downtown,20
120,Boston,BRICK CrossFit DTX / BRICK Boston,42.35,-71.05,5,Downtown,20
121,Boston,Orangetheory Fitness,42.35,-71.05,4.7,Downtown,20
122,Boston,South End Fitness Center,42.35,-71.05,4,Downtown,20
123,Boston,Lifted Fitness,42.35,-71.05,5,Downtown,20
124,Boston,Fisique Boston,42.35,-71.05,4.4,Downtown,20
125,Boston,ZONE5 Fitness,42.35,-71.05,3.9,Downtown,20
126,Boston,FitCorp - Boston's Fitness and Wellness Centers,42.35,-71.05,NAN,Downtown,20
127,Boston,Orangetheory Fitness,42.35,-71.05,4.9,Downtown,20
128,Boston,EverybodyFights,42.35,-71.05,5,Downtown,20
129,Boston,Sweat Box-Boxing Hip Hop Martial Arts for Women,42.35,-71.05,4.8,Downtown,20
130,Boston,Planet Fitness,42.34,-71.06,4.1,South End,20
131,Boston,Peter Welch's Gym,42.34,-71.06,4.9,South End,20
132,Boston,UFC Gym Boston Financial District,42.34,-71.06,4.2,South End,20
133,Boston,Gold's Gym,42.34,-71.06,2.1,South End,20
134,Boston,Equinox Sports Club Boston,42.34,-71.06,3.9,South End,20
135,Boston,Equinox Dartmouth,42.34,-71.06,3.9,South End,20
136,Boston,Equinox Franklin Street,42.34,-71.06,3.8,South End,20
137,Boston,Equinox Seaport,42.34,-71.06,4.5,South End,20
138,Boston,"Back Bay Boxing Gym and Fitness, Boston",42.34,-71.06,5,South End,20
139,Boston,Rock Spot Climbing,42.34,-71.06,4.6,South End,20
140,Boston,BRICK CrossFit DTX / BRICK Boston,42.34,-71.06,5,South End,20
141,Boston,Title Boxing Club Newbury Street,42.34,-71.06,4.7,South End,20
142,Boston,Orangetheory Fitness,42.34,-71.06,4.7,South End,20
143,Boston,South End Fitness Center,42.34,-71.06,4,South End,20
144,Boston,Republic Fitness,42.34,-71.06,4.7,South End,20
145,Boston,Fisique Boston,42.34,-71.06,4.4,South End,20
146,Boston,ZONE5 Fitness,42.34,-71.06,3.9,South End,20
147,Boston,MIT Recreation - Alumni Pool and Wang Fitness Center,42.34,-71.06,4.4,South End,20
148,Boston,FitCorp - Boston's Fitness and Wellness Centers,42.34,-71.06,NAN,South End,20
149,Boston,BodyScapes Fitness Kendall Square,42.34,-71.06,4.5,South End,20
150,New York,24 Hour Fitness,40.75,-74,3.6,Hudson Yards,20
151,New York,24 Hour Fitness,40.75,-74,3.4,Hudson Yards,20
152,New York,Planet Fitness,40.75,-74,3.9,Hudson Yards,20
153,New York,Planet Fitness,40.75,-74,3.9,Hudson Yards,20
154,New York,Planet Fitness,40.75,-74,3.9,Hudson Yards,20
155,New York,Planet Fitness,40.75,-74,3.9,Hudson Yards,20
156,New York,Planet Fitness,40.75,-74,4.1,Hudson Yards,20
157,New York,Crunch - Bowery,40.75,-74,4.1,Hudson Yards,20
158,New York,UFC Gym,40.75,-74,4.6,Hudson Yards,20
159,New York,My Gym Lincoln Center,40.75,-74,4,Hudson Yards,20
160,New York,Gotham Gym,40.75,-74,4.4,Hudson Yards,20
161,New York,Ultimate Gym NYC,40.75,-74,4.3,Hudson Yards,20
162,New York,Equinox Rockefeller Center,40.75,-74,3.8,Hudson Yards,20
163,New York,Equinox Columbus Circle,40.75,-74,3.4,Hudson Yards,20
164,New York,Equinox Park Avenue,40.75,-74,3.9,Hudson Yards,20
165,New York,Equinox,40.75,-74,3.9,Hudson Yards,20
166,New York,Equinox Highline,40.75,-74,3.9,Hudson Yards,20
167,New York,19th Street Gym,40.75,-74,4.7,Hudson Yards,20
168,New York,Life Time Athletic at Sky,40.75,-74,3.4,Hudson Yards,20
169,New York,Fitness Classes - Gym Studio - Belleon NYC,40.75,-74,5,Hudson Yards,20
170,New York,24 Hour Fitness,40.74,-73.94,3.4,Long Island City,20
171,New York,UFC Gym,40.74,-73.94,3,Long Island City,20
172,New York,My Gym Upper East 60th,40.74,-73.94,3.8,Long Island City,20
173,New York,Chalk Gyms,40.74,-73.94,4.2,Long Island City,20
174,New York,Lift Gym Inc,40.74,-73.94,4.3,Long Island City,20
175,New York,Equinox East 54th Street,40.74,-73.94,2.8,Long Island City,20
176,New York,Complete Body & Spa,40.74,-73.94,3.9,Long Island City,20
177,New York,Bell Fitness | CrossFit Bell,40.74,-73.94,5,Long Island City,20
178,New York,Retro Fitness,40.74,-73.94,3.9,Long Island City,20
179,New York,Orangetheory Fitness,40.74,-73.94,5,Long Island City,20
180,New York,301 East 57th Street Gym LLC,40.74,-73.94,NAN,Long Island City,20
181,New York,CrossFit Gantry,40.74,-73.94,4.9,Long Island City,20
182,New York,CrossFit Outbreak East Williamsburg,40.74,-73.94,5,Long Island City,20
183,New York,Phyzique,40.74,-73.94,4.7,Long Island City,20
184,New York,Crunch - 59th Street,40.74,-73.94,4.2,Long Island City,20
185,New York,Planet Fitness,40.74,-73.94,3.7,Long Island City,20
186,New York,Equinox Williamsburg,40.74,-73.94,3.9,Long Island City,20
187,New York,Blink Fitness Woodside,40.74,-73.94,3.5,Long Island City,20
188,New York,Greenpoint Gymnastics,40.74,-73.94,3.8,Long Island City,20
189,New York,Trooper Fitness,40.74,-73.94,5,Long Island City,20
190,New York,Planet Fitness,40.7,-73.98,4.2,Brooklyn Tech Triangle,20
191,New York,Planet Fitness,40.7,-73.98,3.8,Brooklyn Tech Triangle,20
192,New York,Planet Fitness,40.7,-73.98,4.1,Brooklyn Tech Triangle,20
193,New York,Planet Fitness,40.7,-73.98,3.9,Brooklyn Tech Triangle,20
194,New York,The Little Gym,40.7,-73.98,4.2,Brooklyn Tech Triangle,20
195,New York,Little Gym of Brooklyn Heights,40.7,-73.98,4.2,Brooklyn Tech Triangle,20
196,New York,Gleason's Gym,40.7,-73.98,4.5,Brooklyn Tech Triangle,20
197,New York,UFC Gym NYC SoHo,40.7,-73.98,4,Brooklyn Tech Triangle,20
198,New York,Chalk Gyms,40.7,-73.98,4.2,Brooklyn Tech Triangle,20
199,New York,GYM NYC,40.7,-73.98,4.7,Brooklyn Tech Triangle,20
200,New York,Body Elite Gym,40.7,-73.98,4.7,Brooklyn Tech Triangle,20
201,New York,Global Strongman Gym,40.7,-73.98,5,Brooklyn Tech Triangle,20
202,New York,Equinox Dumbo,40.7,-73.98,4.3,Brooklyn Tech Triangle,20
203,New York,Equinox Brooklyn Heights,40.7,-73.98,3.8,Brooklyn Tech Triangle,20
204,New York,Equinox Williamsburg,40.7,-73.98,3.9,Brooklyn Tech Triangle,20
205,New York,Blink Fitness FiDi,40.7,-73.98,3.9,Brooklyn Tech Triangle,20
206,New York,Equinox Wall Street,40.7,-73.98,4.1,Brooklyn Tech Triangle,20
207,New York,GREYS GYM,40.7,-73.98,5,Brooklyn Tech Triangle,20
208,New York,"Complete Body Fitness, Physical Therapy, Juice Bar",40.7,-73.98,4.5,Brooklyn Tech Triangle,20
209,New York,Oculus CrossFit,40.7,-73.98,5,Brooklyn Tech Triangle,20
210,New York,Planet Fitness,40.7,-74.01,4.2,Financial District,20
